ticker,name,start_date,end_date,leader_type,theme,label_status,label_source,notes
300308.SZ,中际旭创,2023-03-22,2023-06-30,institutional_trend,CPO_AI_optical_module,positive_research_seed,user_supplied_case,AI算力与高速光模块第一阶段趋势样本
300308.SZ,中际旭创,2025-07-15,2025-12-31,institutional_trend,CPO_AI_optical_module,positive_research_seed,user_supplied_case,业绩兑现与全球云厂商资本开支驱动的二阶段样本
603773.SH,沃格光电,2026-04-09,2026-06-30,narrative_momentum,glass_substrate_advanced_packaging,positive_risk_case,user_supplied_case,强叙事但公司公告澄清未直接参与相关半导体玻璃基板产品
688146.SH,中船特气,2026-04-03,2026-06-30,price_hike_material,WF6_electronic_gas,positive_risk_case,user_supplied_case,六氟化钨涨价预期与单一产品预期过度放大风险并存
688082.SH,盛美上海,2026-05-12,2026-06-30,institutional_trend,semiconductor_equipment_localization,positive_research_seed,user_supplied_case,半导体湿法设备国产替代与订单趋势样本
